RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,ADP (Underdog),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
1,Jahmyr Gibbs,RB,DET,6,NO,328,1,1,RB1,5.0,243,1223,13,77,616,5,8.0,4.5/5.5,,,,,,,344,4.9,277,1368,15,71,577,4,8.1,4.2/5.4,,,,,,,67,1.10
2,Bijan Robinson,RB,ATL,11,@PIT,331,12,2,RB2,5.1,287,1478,7,79,820,4,10.4,4.6/6.1,,,,,,,334,4.8,291,1386,9,78,728,5,9.3,4.6/6.0,,,,,,,65,1.20
3,Ja'Marr Chase,WR,CIN,6,TB,251,8,3,WR1,4.7,3,14,,125,1412,8,11.3,7.8/11.6,,,,,,,272,5.1,3,17,,114,1409,12,12.4,6.7/9.9,,,,,,,64,1.30
4,Puka Nacua,WR,LAR,11,SF,311,25,4,WR2,10.5,10,105,1,129,1715,10,13.3,8.1/10.4,,,,,,,290,6.9,14,94,1,119,1551,10,13.0,7.0/9.8,,,,,,,62,1.40
5,Jaxon Smith-Njigba,WR,SEA,11,NE,300,13,5,WR3,5.1,7,36,,119,1793,10,15.1,7.0/9.6,,,,,,,276,5.2,5,27,,114,1626,9,14.2,6.7/9.6,,,,,,,62,1.50
6,Christian McCaffrey,RB,SF,8,@LAR,366,15,6,RB3,3.9,311,1202,10,102,924,7,9.1,6.0/7.6,,,,,0.1,,330,4.0,285,1151,11,80,726,6,9.1,4.7/6.2,,,,,,,59,1.60
7,Jonathan Taylor,RB,IND,13,BAL,339,13,8,RB4,4.9,323,1585,18,46,378,2,8.2,2.7/3.2,,,,,,,309,4.7,329,1539,14,47,359,2,7.6,2.8/3.5,,,,,,,59,1.70
8,Amon-Ra St. Brown,WR,DET,6,NO,266,14,7,WR4,3.0,3,9,,117,1401,11,12.0,6.9/10.1,,,,,,,256,5.7,2,10,,116,1373,10,11.8,6.8/9.9,,,,,,,55,1.80
9,James Cook III,RB,BUF,7,@HOU,286,30,10,RB5,5.2,309,1621,12,33,291,2,8.8,1.9/2.4,,,,,,,281,4.7,304,1441,12,39,334,2,8.6,2.3/3.1,,,,,,,55,1.90
10,CeeDee Lamb,WR,DAL,14,@NYG,163,10,9,WR5,2.0,1,2,,75,1077,3,14.4,5.4/8.4,,,,,,,247,6.0,3,20,,106,1382,9,13.1,6.2/9.4,,,,,,,53,2.00
11,Derrick Henry,RB,BAL,13,@IND,272,19,17,RB6,5.2,307,1595,16,15,150,,10.0,0.9/1.2,,,,,0.1,,276,4.9,311,1536,14,22,216,1,9.8,1.3/1.8,,,,,,,52,2.10
12,Saquon Barkley,RB,PHI,10,WAS,214,4,12,RB7,4.1,280,1140,7,37,273,2,7.4,2.3/3.1,,,,,,,260,4.3,292,1241,11,39,328,3,8.4,2.3/3.1,,,,,,,51,2.20
